app-1  | 85.217.140.52 - - [28/May/2026 07:21:46] "GET / HTTP/1.1" 200 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:00] "POST /api/auth/login HTTP/1.1" 200 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:00] "POST /api/agent-blueprints/draft HTTP/1.1" 201 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:00] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/setup HTTP/1.1" 200 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:01] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/sources/upload HTTP/1.1" 201 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:01] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/sources/upload HTTP/1.1" 201 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:01] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/sources/upload HTTP/1.1" 201 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:01] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/sources/upload HTTP/1.1" 400 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:01] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/sources/upload HTTP/1.1" 400 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:01] "GET /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/sources/catalog HTTP/1.1" 200 -
app-1  | /usr/local/lib/python3.11/site-packages/urllib3/connectionpool.py:1110: InsecureRequestWarning: Unverified HTTPS request is being made to host 'ngw.devices.sberbank.ru'. Adding certificate verification is strongly advised. See: https://urllib3.readthedocs.io/en/latest/advanced-usage.html#tls-warnings
app-1  |   warnings.warn(
app-1  | /usr/local/lib/python3.11/site-packages/urllib3/connectionpool.py:1110: InsecureRequestWarning: Unverified HTTPS request is being made to host 'gigachat.devices.sberbank.ru'. Adding certificate verification is strongly advised. See: https://urllib3.readthedocs.io/en/latest/advanced-usage.html#tls-warnings
app-1  |   warnings.warn(
app-1  | 127.0.0.1 - - [28/May/2026 07:29:13] "POST /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/runs HTTP/1.1" 201 -
app-1  | 127.0.0.1 - - [28/May/2026 07:29:13] "GET /api/agent-blueprints/8a8ed073-a9bf-44eb-8770-83946df47cb2/review HTTP/1.1" 200 -
app-1  | 172.18.0.1 - - [28/May/2026 07:29:19] "HEAD / HTTP/1.1" 200 -
