entity_id,display_name,cities,profile_type,primary_handle,contactability,score,stage,business_fit_candidates,platform,canonical_url,username,follower_count,audience_band,verification_status,source_url,discovery_source_url,evidence_url
7fee003546ce0652c196,5D mama,Батуми,author_or_channel,5Dmama,manual_only,65,worth_checking,riderra,youtube,https://www.youtube.com/@5Dmama,5Dmama,13900,micro,original_profile_opened,https://www.youtube.com/@5Dmama,https://www.youtube.com/results?search_query=Batumi+beauty+vlog&hl=ru,https://www.youtube.com/watch?v=lUkTHRf4040
0de8a11c08fd5bdc0ac8,Aey and Mel,Батуми,author_or_channel,aeyandmel,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@aeyandmel,aeyandmel,1950,nano,original_profile_opened,https://www.youtube.com/@aeyandmel,https://www.youtube.com/results?search_query=Batumi+events+vlog&hl=ru,https://www.youtube.com/watch?v=62nFVHZbiL4
4b64df479bb893d61c3e,aigerim_ erkinkyzy,Батуми,author_or_channel,%D0%90%D0%B9%D0%B3%D0%B5%D1%80%D1%96%D0%BC_%D0%95%D1%80%D0%BA%D1%96%D0%BD%D2%9B%D1%8B%D0%B7%D1%8B,manual_only,70,worth_checking,"intellectum, riderra",youtube,https://www.youtube.com/@%D0%90%D0%B9%D0%B3%D0%B5%D1%80%D1%96%D0%BC_%D0%95%D1%80%D0%BA%D1%96%D0%BD%D2%9B%D1%8B%D0%B7%D1%8B,%D0%90%D0%B9%D0%B3%D0%B5%D1%80%D1%96%D0%BC_%D0%95%D1%80%D0%BA%D1%96%D0%BD%D2%9B%D1%8B%D0%B7%D1%8B,200,nano,original_profile_opened,https://www.youtube.com/@%D0%90%D0%B9%D0%B3%D0%B5%D1%80%D1%96%D0%BC_%D0%95%D1%80%D0%BA%D1%96%D0%BD%D2%9B%D1%8B%D0%B7%D1%8B,https://www.youtube.com/results?search_query=Batumi+family+vlog&hl=ru,https://www.youtube.com/watch?v=zTeECuA-rXk
67d6fb44d9843fa48465,Alexander Short,Батуми,author_or_channel,AlexanderShort,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@AlexanderShort,AlexanderShort,67200,micro,original_profile_opened,https://www.youtube.com/@AlexanderShort,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D0%BA%D1%83%D0%B4%D0%B0+%D1%81%D1%85%D0%BE%D0%B4%D0%B8%D1%82%D1%8C&hl=ru,https://www.youtube.com/watch?v=JXd1-aQtL5M
6b13a727f50a1d63e9e3,Alina Modern Mom,Батуми,author_or_channel,AlinaModernMom,manual_only,65,worth_checking,,youtube,https://www.youtube.com/@AlinaModernMom,AlinaModernMom,10000,micro,original_profile_opened,https://www.youtube.com/@AlinaModernMom,https://www.youtube.com/results?search_query=%D0%91%D0%B0%D1%82%D1%83%D0%BC%D0%B8+%D1%81+%D0%B4%D0%B5%D1%82%D1%8C%D0%BC%D0%B8&hl=ru,https://www.youtube.com/watch?v=LtsQy0oeQFc
6a2c059d942e079e72ed,Alina | UGC Creator | Travel & Lifestyle,Батуми,author,alinagulayeva_,advertising_contact,89,worth_checking,riderra,instagram,https://www.instagram.com/alinagulayeva_,alinagulayeva_,1334,nano,original_profile_opened,https://www.instagram.com/alinagulayeva_,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
6a2c059d942e079e72ed,Alina | UGC Creator | Travel & Lifestyle,Батуми,author,alinagulayeva_,advertising_contact,89,worth_checking,riderra,threads,https://www.threads.com/@alinagulayeva_,alinagulayeva_,145,nano,public_index_verified,https://threadlook.com/profile/alinagulayeva_,https://collabstr.com/top-influencers/instagram/in/georgia/batumi,
9f9a3878c98cc1da363a,Alvin Karpats,Батуми,author_or_channel,alvinkarpats1763,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@alvinkarpats1763,alvinkarpats1763,199,nano,original_profile_opened,https://www.youtube.com/@alvinkarpats1763,https://www.youtube.com/results?search_query=Batumi+places+review&hl=ru,https://www.youtube.com/watch?v=NIsxvqLdTCY
f575b16c72e8673f182e,Anastasiia Marinina,Батуми,author_or_channel,anmarinina,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@anmarinina,anmarinina,587,nano,original_profile_opened,https://www.youtube.com/@anmarinina,https://www.youtube.com/results?search_query=Batumi+vlog&hl=ru,https://www.youtube.com/watch?v=wpXRP9T75-I
09f1d9da5c4615163281,ANASTASIYA LISKOVA,Батуми,author_or_channel,liskovation,manual_only,70,worth_checking,,youtube,https://www.youtube.com/@liskovation,liskovation,141,nano,original_profile_opened,https://www.youtube.com/@liskovation,https://www.youtube.com/results?search_query=Batumi+beauty+vlog&hl=ru,https://www.youtube.com/watch?v=42sSHflqvwI
